_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.sca.scan_id,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.reason,_source.data.sca.check.compliance.cis_csc,_source.data.sca.check.compliance.cis,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.command,_source.data.sca.type,_source.data.sca.policy,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.tsc,_source.rule.cis_csc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.cis,_source.rule.nist_800_53,_source.rule.gdpr,_source.decoder.name,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.win.eventdata.data,_source.data.win.system.eventID,_source.data.win.system.eventSourceName,_source.data.win.system.keywords,_source.data.win.system.providerGuid,_source.data.win.system.level,_source.data.win.system.channel,_source.data.win.system.opcode,_source.data.win.system.message,_source.data.win.system.version,_source.data.win.system.systemTime,_source.data.win.system.eventRecordID,_source.data.win.system.threadID,_source.data.win.system.computer,_source.data.win.system.task,_source.data.win.system.processID,_source.data.win.system.severityValue,_source.data.win.system.providerName,_source.data.win.eventdata.subjectLogonId,_source.data.win.eventdata.subjectUserSid,_source.data.win.eventdata.subjectDomainName,_source.data.win.eventdata.privilegeList,_source.data.win.eventdata.subjectUserName,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.win.eventdata.param3,_source.data.win.eventdata.param4,_source.data.win.eventdata.param1,_source.data.win.eventdata.param2,_source.rule.hipaa,_source.rule.info,_source.data.win.eventdata.bucketId,_source.data.win.eventdata.deviceAttributes,_source.data.win.eventdata.updateType,_source.data.win.eventdata.hResult,_source.rule.gpg13,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.passed,_source.data.sca.failed,_source.data.win.eventdata.extraInfo,_source.data.extra_data,_source.decoder.parent,_source.full_log,_source.data.sca.check.previous_result,_source.data.win.eventdata.targetLinkedLogonId,_source.data.win.eventdata.impersonationLevel,_source.data.win.eventdata.ipAddress,_source.data.win.eventdata.authenticationPackageName,_source.data.win.eventdata.workstationName,_source.data.win.eventdata.targetLogonId,_source.data.win.eventdata.logonProcessName,_source.data.win.eventdata.logonGuid,_source.data.win.eventdata.targetUserName,_source.data.win.eventdata.keyLength,_source.data.win.eventdata.elevatedToken,_source.data.win.eventdata.processId,_source.data.win.eventdata.processName,_source.data.win.eventdata.ipPort,_source.data.win.eventdata.targetDomainName,_source.data.win.eventdata.targetUserSid,_source.data.win.eventdata.virtualAccount,_source.data.win.eventdata.logonType,_source.data.win.eventdata.subStatus,_source.data.win.eventdata.failureReason,_source.data.win.eventdata.status,_source.data.win.eventdata.binary,_source.data.win.eventdata.addressLength,_source.data.win.eventdata.address,_source.data.win.eventdata.queryName,_source.data.win.eventdata.previousTime,_source.data.win.eventdata.newTime
wazuh-alerts-4.x-2025.11.14,adZdgZoBBFAMeJ5srPj9,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu,1935893949,not applicable,"To establish the recommended configuration via GP, set the following UI path to 24 or more password(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Enforce password history","Timeout overtaken running command 'powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""PasswordHistorySize""; Remove-Item $env:TEMP\secpol.cfg'",5.2,1.1.1,"This policy setting determines the number of renewed, unique passwords that have to be associated with a user account before you can reuse an old password. The value for this policy setting must be between 0 and 24 passwords. The default value for Windows Vista is 0 passwords, but the default setting in a domain is 24 passwords. To maintain the effectiveness of this policy setting, use the Minimum password age setting to prevent users from repeatedly changing their password. The recommended state for this setting is: 24 or more password(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center. Note #2: As of the publication of this benchmark, Microsoft currently has a maximum limit of 24 saved passwords. For more information, please visit Enforce password history (Windows 10) - Windows security | Microsoft Docs",15500,Ensure 'Enforce password history' is set to '24 or more password(s)'.,"The longer a user uses the same password, the greater the chance that an attacker can determine the password through brute force attacks. Also, any accounts that may have been compromised will remain exploitable for as long as the password is left unchanged. If password changes are required but password reuse is not prevented, or if users continually reuse a small number of passwords, the effectiveness of a good password policy is greatly reduced. If you specify a low number for this policy setting, users will be able to use the same small number of passwords repeatedly. If you do not also configure the Minimum password age setting, users might repeatedly change their passwords until they can reuse their original password.","[""powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""PasswordHistorySize\""; Remove-Item $env:TEMP\\secpol.cfg""]",check,CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0,1,false,3,"[""2.2""]","[""CC7.1"",""CC7.2""]","[""5.2""]",CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.,"[""sca""]",19009,"[""1.1.1""]","[""CM.1""]","[""IV_35.7.d""]",sca,log,"Nov 14, 2025 @ 01:56:24.448",sca,1763106984.164258,"Nov 14, 2025 @ 01:56:24.448", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,XNZagZoBBFAMeJ5sPfjQ,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,5, , , ,License activation (slui.exe) failed.,"[""windows"",""windows_application""]",60646, , , ,windows_eventchannel,log,"Nov 14, 2025 @ 01:52:38.861",EventChannel,1763106758.126526,"Nov 14, 2025 @ 01:52:38.861","hr=0x8007139F, RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c;NotificationInterval=1440;Trigger=NetworkAvailable",8198,Software Protection Platform Service,0x80000000000000,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},2,Application,0,"""License Activation (slui.exe) failed with the following error code:
hr=0x8007139F
Command-line arguments:
RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c;NotificationInterval=1440;Trigger=NetworkAvailable""",0,2025-11-14T13:52:20.6473877Z,2195,0,DESKTOP-MHRV979,0,0,ERROR,Microsoft-Windows-Security-SPP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,YdZagZoBBFAMeJ5sPfjQ,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,3, , , ,Special privileges assigned to new logon.,"[""windows"","" WEF""]",67028, , , ,windows_eventchannel,log,"Nov 14, 2025 @ 01:52:39.183",EventChannel,1763106759.147377,"Nov 14, 2025 @ 01:52:39.183", ,4672, ,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-355707830-1189791961-1431070526-1002
	Account Name:		Chris
	Account Domain:		DESKTOP-MHRV979
	Logon ID:		0x8F646

Privileges:		SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege""",0,2025-11-14T13:52:24.1652984Z,36186,644,DESKTOP-MHRV979,12548,592,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,0x8f646,S-1-5-21-355707830-1189791961-1431070526-1002,DESKTOP-MHRV979,SeSecurityPrivilege     SeTakeOwnershipPrivilege     SeLoadDriverPrivilege     SeBackupPrivilege     SeRestorePrivilege     SeDebugPrivilege     SeSystemEnvironmentPrivilege     SeImpersonatePrivilege     SeDelegateSessionUserImpersonatePrivilege,Chris,"[""Domain Policy Modification""]","[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,EdbkgJoBBFAMeJ5sVPgm,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,2,false,3,"[""10.6""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]", ,Service startup type was changed,"[""windows"",""windows_system"",""policy_changed""]",61104, ,"[""AU.6""]","[""IV_35.7.d""]",windows_eventchannel,log,"Nov 13, 2025 @ 23:43:57.384",EventChannel,1763099037.103922,"Nov 13, 2025 @ 23:43:57.384", ,7040,Service Control Manager,0x8080000000000000,{555908d1-a6d7-4695-8e1e-26931d2012f4},4,System,0,"""The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.""",0,2025-11-14T11:43:55.0894370Z,2237,2692,DESKTOP-MHRV979,0,572,INFORMATION,Service Control Manager, , , , , , , , ,demand start,BITS,Background Intelligent Transfer Service,auto start,"[""164.312.b""]",This does not appear to be logged on Windows 2000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,atZegZoBBFAMeJ5sXPjM,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]",61102, , ,"[""IV_35.7.d""]",windows_eventchannel,log,"Nov 14, 2025 @ 01:57:11.217",EventChannel,1763107031.171121,"Nov 14, 2025 @ 01:57:11.217", ,1801, ,0x8000000000000000,{7d5387b0-cbe0-11da-a94d-0800200c9a66},2,System,0,"""Secure Boot CA/keys need to be updated. This device signature information is included here.
DeviceAttributes: BaseBoardManufacturer:;FirmwareManufacturer:;FirmwareVersion:;OEMModelNumber:VirtualBox;OEMModelBaseBoard:;OEMModelSystemFamily:;OEMManufacturerName:innotek GmbH;OEMModelSKU:;OSArchitecture:amd64;
BucketId: b3505d1a9b743dca12c6f738fbc9cddc334820127646250a334f0be309937214
BucketConfidenceLevel: 
UpdateType: 0
HResult: The operation completed successfully.""",0,2025-11-14T13:57:08.3537213Z,2291,2404,DESKTOP-MHRV979,0,3584,ERROR,Microsoft-Windows-TPM-WMI, , , , , , , , , , , , , , ,b3505d1a9b743dca12c6f738fbc9cddc334820127646250a334f0be309937214,BaseBoardManufacturer:;FirmwareManufacturer:;FirmwareVersion:;OEMModelNumber:VirtualBox;OEMModelBaseBoard:;OEMModelSystemFamily:;OEMManufacturerName:innotek GmbH;OEMModelSKU:;OSArchitecture:amd64;,0,0,"[""4.3""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,ZtZcgZoBBFAMeJ5sEvi6,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,2,false,3, , , ,Software protection service scheduled successfully.,"[""windows"",""windows_application""]",60642, , , ,windows_eventchannel,log,"Nov 14, 2025 @ 01:54:44.254",EventChannel,1763106884.162664,"Nov 14, 2025 @ 01:54:44.254","2025-11-15T13:51:42Z, RulesEngine",16384,Software Protection Platform Service,0x80000000000000,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},4,Application,0,"""Successfully scheduled Software Protection service for re-start at 2025-11-15T13:51:42Z. Reason: RulesEngine.""",0,2025-11-14T13:54:42.3654999Z,2208,0,DESKTOP-MHRV979,0,0,INFORMATION,Microsoft-Windows-Security-SPP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,WdZZgZoBBFAMeJ5s3Pgn,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,3, , , ,The database engine has completed recovery steps.,"[""windows"",""windows_application""]",60809, , , ,windows_eventchannel,log,"Nov 14, 2025 @ 01:52:14.060",EventChannel,1763106734.118233,"Nov 14, 2025 @ 01:52:14.060","SearchIndexer, 2292,U,98, Windows:",302, ,0x80000000000000, ,4,Application,0,"""SearchIndexer (2292,U,98) Windows: The database engine has successfully completed recovery steps.""",0,2025-11-14T13:52:12.1216800Z,2185,0,DESKTOP-MHRV979,3,0,INFORMATION,ESENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,ZdZbgZoBBFAMeJ5sO_jT,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu,1935893949, , , , , , , , , , ,summary,CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0,1,false,7,"[""2.2""]","[""CC7.1"",""CC7.2""]", ,SCA summary: CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Score less than 50% (32),"[""sca""]",19004, ,"[""CM.1""]","[""IV_35.7.d""]",sca,log,"Nov 14, 2025 @ 01:53:41.583",sca,1763106821.161312,"Nov 14, 2025 @ 01:53:41.583", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32,394,cis_win10_enterprise.yml,cis_win10_enterprise,5,This document provides prescriptive guidance for establishing a secure configuration posture for Microsoft Windows 10 Enterprise.,127,262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,AtbggJoBBFAMeJ5sKfhR,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,5, , , ,License activation (slui.exe) failed.,"[""windows"",""windows_application""]",60646, , , ,windows_eventchannel,log,"Nov 13, 2025 @ 23:39:15.880",EventChannel,1763098755.66683,"Nov 13, 2025 @ 23:39:15.880","hr=0x8007139F, RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c;NotificationInterval=1440;Trigger=NetworkAvailable",8198,Software Protection Platform Service,0x80000000000000,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},2,Application,0,"""License Activation (slui.exe) failed with the following error code:
hr=0x8007139F
Command-line arguments:
RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c;NotificationInterval=1440;Trigger=NetworkAvailable""",0,2025-11-14T11:39:00.5885653Z,2154,0,DESKTOP-MHRV979,0,0,ERROR,Microsoft-Windows-Security-SPP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.14,A9bggJoBBFAMeJ5sZPgJ,1,1,192.168.0.216,DESKTOP-MHRV979,001,Ubuntu, , , , , , , , , , , , , ,1,false,3, , , ,Software protection service scheduled successfully.,"[""windows"",""windows_application""]",60642, , , ,windows_eventchannel,log,"Nov 13, 2025 @ 23:39:32.023",EventChannel,1763098772.69018,"Nov 13, 2025 @ 23:39:32.023","2025-11-15T11:38:30Z, RulesEngine",16384,Software Protection Platform Service,0x80000000000000,{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156},4,Application,0,"""Successfully scheduled Software Protection service for re-start at 2025-11-15T11:38:30Z. Reason: RulesEngine.""",0,2025-11-14T11:39:30.6047595Z,2155,0,DESKTOP-MHRV979,0,0,INFORMATION,Microsoft-Windows-Security-SPP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
